Bee Gees,Night Fever,3W0zjlmQh190eozBQSBHN9,3,0.747,0.523,1,-15.688,0,0.0295,0.0263,0.00327,0.0752,0.882,109.158,209507,4
Andy Gibb,Shadow Dancing,3unwRUV5qbjMmH3NJtaODy,3,0.742,0.6,7,-9.647,0,0.0319,0.142,0,0.0677,0.954,101.92,276000,4
Andy Gibb,After Dark,67dRQ6zVHv5rA3mSAq4Khq,3,0.74,0.646,4,-11.433,0,0.0298,0.414,0.00000261,0.173,0.961,116.952,260667,4
Neneh Cherry,Buffalo Stance,3XWgwgbWDI56mf1Wl3cLzb,3,0.708,0.627,1,-11.155,1,0.0614,0.0113,0.0000313,0.338,0.764,107.248,342360,4
Celine Dion,My Heart Will Go On,3oEHQmhvFLiE7ZYES0ulzv,3,0.428,0.276,4,-11.729,1,0.0312,0.732,0.00000533,0.117,0.0382,99.195,280000,1
Fleetwood Mac,Seven Wonders,3k2ImghAf2wffEKTMVvIkc,3,0.707,0.625,4,-9.529,1,0.0303,0.0259,0.0000542,0.104,0.634,119.049,222400,4
Carly Simon,Mockingbird,74UWXHeikO5C3ScEREk42E,3,0.716,0.753,3,-12.407,1,0.0368,0.0532,0.000619,0.183,0.952,113.404,254240,4
Asia,Heat of the Moment,2ZBalNGwjqdKJd29O76wBV,3,0.324,0.84,1,-7.31,1,0.0489,0.358,0.000239,0.367,0.576,136.136,227627,4
Sheena Easton,Morning Train (Nine to Five),6CEKntwndUlmWhSRflWA5X,3,0.797,0.511,8,-10.618,1,0.0552,0.686,0,0.122,0.804,121.874,200973,4
Thompson Twins,Hold Me Now,3xkoUGbf11dLvsfIdgfmIp,3,0.871,0.491,7,-13.407,1,0.0392,0.573,0.00862,0.12,0.73,107.92,429173,4
Beastie Boys,Fight For Your Right,5NLuC70kZQv8q34QyQa1DP,3,0.673,0.72,8,-10.411,1,0.0376,0.129,0.0133,0.0813,0.6,133.62,207400,4
Survivor,Eye of the Tiger,2HHtWyy5CgaQbC7XSoOb0e,3,0.815,0.438,0,-14.522,0,0.0346,0.216,0.000466,0.0787,0.552,108.965,243773,4
The Beautiful South,You Keep It All In,57gpjrxXMnqyKIxzMToJ7A,3,0.8,0.473,10,-15.379,1,0.0614,0.23,0.0139,0.131,0.839,147.453,173760,4
Hall and Oates,Man Eater,4xw1S4UaU7cLYtkkDY59SN,3,0.726,0.493,11,-12.236,0,0.0382,0.0137,0.0000428,0.102,0.83,88.709,271360,4
Boz Scaggs,It's Over,290g7LaS5icnIywogzldul,3,0.579,0.728,0,-6.904,1,0.0326,0.274,0.00000151,0.256,0.869,132.863,169760,4
Diana Ross,I'm Coming Out,3SnGymj6ijE2iuUfWxLo1q,3,0.729,0.832,5,-9.168,1,0.0479,0.179,0.352,0.0806,0.758,110.116,323347,4
Lionel Ritchie,My Love,03WKCY9wDhFUx0eWBsPRT5,3,0.267,0.16,8,-13.155,1,0.0362,0.689,0,0.086,0.122,62.308,244973,4
"10,000 Maniacs",Like the Weather,19X5dUlxVWC5jDg3eOysMz,4,null,null,null,null,null,null,null,null,null,null,null,null,
Seal,Kiss From a Rose,3YKptz29AsOlm7WAVnztBh,4,0.583,0.532,10,-7.11,0,0.0309,0.684,0,0.306,0.223,131.741,288427,3
Tina Turner,What's Love Got to Do With It,4kOfxxnW1ukZdsNbCKY9br,4,0.851,0.406,1,-11.631,1,0.0661,0.219,0.00000641,0.0853,0.792,97.84,226880,4
Tina Turner,Better Be Good to Me,6YytY6PPvAEp1MluJ49nP0,4,0.709,0.807,8,-4.717,1,0.0454,0.0289,0.00852,0.106,0.738,120.718,310867,4
Bee Gees,Stayin' Alive,4ICKuJDY5F2XdTR4fIMA7W,4,0.701,0.753,10,-8.202,0,0.0351,0.0203,0.00855,0.146,0.909,103.558,284427,4
Andy Gibb,An Everlasting Love,30IpEYZRHYmS8yZyMM5aYK,4,0.668,0.685,9,-6.533,1,0.0368,0.302,0,0.137,0.903,125.475,250360,4
Eric Carmen,All By Myself,0AQqrtK1pULuwZUXhwaaDz,4,0.376,0.373,7,-9.184,0,0.0305,0.827,0.832,0.15,0.111,116.074,430000,4
Fleetwood Mac,Landslide,5ihS6UUlyQAfmp48eSkxuQ,4,0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375,199493,4
Fleetwood Mac,Over My Head,4rBnrnqnI0tcjcNAFO6RZO,4,0.559,0.505,2,-16.529,1,0.0288,0.319,0.00211,0.222,0.678,98.665,214667,4
Carly Simon,Nobody Does It Better,49RUdNvwSiUTC8fBh4KKoC,4,0.368,0.403,10,-12.699,1,0.0288,0.703,0.00000766,0.225,0.338,135.384,210884,4
Christopher Cross,Never Be the Same,2vUoP3ppYxD1F5ovbnmM46,4,0.758,0.669,9,-9.501,1,0.033,0.28,0.0000749,0.5,0.831,125.263,249733,4
Air Supply,Lost In Love,6MhK1gPrgtgRedEjSUz18I,4,0.59,0.589,7,-9.859,1,0.03,0.37,0.00000122,0.162,0.501,114.471,231133,4
